customer_key,customer_number,customer_name,customer_age,age_group,customer_segment,total_order,recency,avg_order_value,avg_monthly_spen,total_product,total_sales,total_quantity,lifespan
13688,AW00024687,Joan Ross,67,above_50,New,3,146,30,92,3,92,3,0
12038,AW00023037,Lucas Wood,64,above_50,New,2,139,16,32,2,32,2,0
9784,AW00020783,Amanda Collins,55,above_50,New,2,141,20,40,2,40,2,0
2748,AW00013747,Brian Torres,51,above_50,New,4,151,761,609.0000000000000000,4,3045,4,5
16543,AW00027542,Jessica Rivera,57,above_50,New,5,140,906,412.0909090909090909,5,4533,5,11
1814,AW00012813,Reginald Ramos,52,above_50,Regular,5,141,873,363.9166666666666667,5,4367,5,12
14761,AW00025760,Natalie Alexander,51,above_50,New,4,148,141,567,4,567,4,0
12904,AW00023903,Harold Subram,52,above_50,New,1,144,540,540,1,540,1,0
7242,AW00018241,Tony Sharma,50,above_50,VIP,4,151,1514,302.9000000000000000,4,6058,4,20
13136,AW00024135,Martin Martinez,44,40_49,New,2,148,1209,2419,2,2419,2,0
11302,AW00022301,Abigail Rodriguez,50,above_50,New,1,150,540,540,1,540,1,0
4787,AW00015786,Marshall Andersen,57,above_50,New,3,141,1455,436.6000000000000000,3,4366,3,10
605,AW00011604,Edgar Sanchez,42,40_49,VIP,7,142,969,323.1428571428571429,7,6786,7,21
5388,AW00016387,Douglas Vance,51,above_50,New,4,140,23,31.6666666666666667,4,95,4,3
2246,AW00013245,Angel Scott,68,above_50,New,2,145,23,46,2,46,2,0
13096,AW00024095,Julie Andersen,52,above_50,New,2,145,14,29,2,29,2,0
14368,AW00025367,Abigail Torres,60,above_50,New,1,139,5,5,1,5,1,0
3709,AW00014708,Evelyn Kapoor,48,40_49,Regular,4,141,741,164.7777777777777778,4,2966,4,18
603,AW00011602,Larry Gill,42,40_49,New,1,145,35,35,1,35,1,0
18115,AW00029114,Levi Raman,52,above_50,New,1,148,2384,2384,1,2384,1,0
17704,AW00028703,Felicia Suarez,50,above_50,New,2,143,1209,2419,2,2419,2,0
7417,AW00018416,Emma Peterson,59,above_50,New,4,140,592,2370,4,2370,4,0
16447,AW00027446,Tyler Jones,45,40_49,New,3,142,1489,406.1818181818181818,3,4468,3,11
3881,AW00014880,Jessica Ross,66,above_50,Regular,2,146,909,90.9500000000000000,2,1819,2,20
10389,AW00021388,Nicole Lee,40,40_49,New,3,142,393,1179,3,1179,3,0
6949,AW00017948,Cheryl Vazquez,60,above_50,New,5,144,609,304.5000000000000000,5,3045,5,10
14815,AW00025814,Krystal Zeng,44,40_49,New,3,143,20,62,3,62,3,0
13705,AW00024704,Allen Schmidt,42,40_49,New,1,138,21,21,1,21,1,0
1152,AW00012151,Steven Kelly,55,above_50,VIP,3,149,1965,393.0000000000000000,3,5895,3,15
7118,AW00018117,Fernando Washington,56,above_50,New,2,140,7,14,2,14,2,0
6860,AW00017859,Wyatt Gonzalez,58,above_50,New,2,143,868,1736,2,1736,2,0
1404,AW00012403,Henry Young,48,40_49,New,3,141,22,67,3,67,3,0
8838,AW00019837,Philip Jimenez,66,above_50,New,2,143,295,590,2,590,2,0
16355,AW00027354,Deanna Patel,40,40_49,New,2,146,661,189.0000000000000000,2,1323,2,7
5112,AW00016111,Allison Green,45,40_49,New,5,142,468,2341,5,2341,5,0
3539,AW00014538,Katherine Brown,57,above_50,Regular,5,143,603,167.6111111111111111,5,3017,5,18
14142,AW00025141,Walter Gutierrez,46,40_49,New,1,147,5,5,1,5,1,0
5528,AW00016527,Cory Arun,41,40_49,Regular,3,145,1584,163.8620689655172414,3,4752,3,29
3703,AW00014702,Curtis Zimmerman,47,40_49,VIP,7,142,961,240.3214285714285714,7,6729,7,28
12769,AW00023768,Joshua Garcia,48,40_49,New,2,139,14,29,2,29,2,0
12840,AW00023839,Savannah Howard,44,40_49,New,1,148,30,30,1,30,1,0
2042,AW00013041,Cameron Brown,68,above_50,New,5,146,30,77.0000000000000000,5,154,5,2
3322,AW00014321,Jackson Evans,55,above_50,New,3,138,25,38.5000000000000000,3,77,3,2
1595,AW00012594,Sandra Gao,59,above_50,New,2,140,19,38,2,38,2,0
12482,AW00023481,Dustin Xu,56,above_50,New,1,145,30,30,1,30,1,0
17310,AW00028309,Julie Lal,41,40_49,New,2,150,1209,2419,2,2419,2,0
8304,AW00019303,Sylvia Spencer,68,above_50,New,2,139,20,40,2,40,2,0
5190,AW00016189,Amanda Hughes,40,40_49,New,5,140,21,21.2000000000000000,5,106,5,5
10942,AW00021941,Gail Moore,62,above_50,New,2,140,587,1174,2,1174,2,0
11330,AW00022329,Grace Peterson,46,40_49,New,2,149,287,575,2,575,2,0
18126,AW00029125,Andrea Reed,45,40_49,New,3,141,4,14,3,14,3,0
17818,AW00028817,James Lee,48,40_49,New,1,150,70,70,1,70,1,0
11340,AW00022339,Richard Nelson,66,above_50,New,2,144,7,15,2,15,2,0
11943,AW00022942,Brittney She,59,above_50,Regular,4,140,993,233.6470588235294118,4,3972,4,17
1970,AW00012969,Richard Rodriguez,59,above_50,New,12,142,15,45.0000000000000000,12,180,12,4
15216,AW00026215,Grant Shan,45,40_49,New,2,139,7,14,2,14,2,0
9035,AW00020034,Wyatt Turner,51,above_50,VIP,5,141,1154,240.4166666666666667,5,5770,5,24
5433,AW00016432,John Garcia,50,above_50,New,3,146,1544,662.0000000000000000,3,4634,3,7
10798,AW00021797,Kelvin Gao,69,above_50,New,2,141,577,1155,2,1155,2,0
8038,AW00019037,Marshall Chen,64,above_50,New,3,142,1619,539.7777777777777778,3,4858,3,9
2276,AW00013275,Carlos Murphy,54,above_50,New,1,150,22,22,1,22,1,0
4775,AW00015774,Natalie Kelly,57,above_50,New,2,148,62,125,2,125,2,0
15770,AW00026769,Holly Sai,83,above_50,New,2,143,18,37,2,37,2,0
8256,AW00019255,Terrance Sara,65,above_50,Regular,2,141,1242,124.2000000000000000,2,2484,2,20
15250,AW00026249,Thomas Ross,65,above_50,New,1,163,2071,2071,1,2071,1,0
17684,AW00028683,Mallory Munoz,43,40_49,New,1,161,2049,2049,1,2049,1,0
2382,AW00013381,Vanessa Jenkins,65,above_50,New,2,144,36,72,2,72,2,0
9930,AW00020929,Darryl Zeng,40,40_49,New,3,149,12,37,3,37,3,0
15851,AW00026850,Terry Luo,45,40_49,New,2,146,27,54,2,54,2,0
13730,AW00024729,Chase Murphy,45,40_49,New,2,147,29,59,2,59,2,0
16642,AW00027641,Miranda Alexander,57,above_50,VIP,2,141,2981,180.6666666666666667,2,5962,2,33
2058,AW00013057,Destiny Powell,44,40_49,Regular,5,141,668,159.0952380952380952,5,3341,5,21
17333,AW00028332,Ryan Washington,43,40_49,New,2,146,47,94,2,94,2,0
7939,AW00018938,Lucas Lopez,62,above_50,New,1,142,70,70,1,70,1,0
1676,AW00012675,Holly Fernandez,40,40_49,VIP,5,143,1362,358.5263157894736842,5,6812,5,19
11860,AW00022859,Arianna Sanders,48,40_49,New,1,145,5,5,1,5,1,0
15470,AW00026469,Joy Alvarez,78,above_50,New,3,149,21,65,3,65,3,0
10261,AW00021260,Ariana Howard,43,40_49,New,2,142,7,15,2,15,2,0
2990,AW00013989,Chloe Bradley,42,40_49,New,2,149,23,46,2,46,2,0
1599,AW00012598,Alexandra Bryant,60,above_50,New,3,142,14,43.0000000000000000,3,43,3,1
11573,AW00022572,Karen Cai,39,30_39,Regular,4,145,749,230.5384615384615385,4,2997,4,13
8534,AW00019533,Vanessa Long,52,above_50,New,2,150,577,1155,2,1155,2,0
14445,AW00025444,Meagan Martinez,51,above_50,New,2,145,877,1755,2,1755,2,0
542,AW00011541,Aidan Ross,60,above_50,VIP,5,148,1194,314.3684210526315789,5,5973,5,19
9878,AW00020877,Richard Ross,51,above_50,New,1,143,1120,1120,1,1120,1,0
4322,AW00015321,Blake Phillips,72,above_50,Regular,3,144,1037,194.5625000000000000,3,3113,3,16
3204,AW00014203,Seth Rodriguez,72,above_50,VIP,9,143,786,416.5882352941176471,9,7082,9,17
5933,AW00016932,Adam King,57,above_50,New,4,143,3,7.0000000000000000,4,14,4,2
6894,AW00017893,Omar Rai,64,above_50,New,2,145,1941,485.3750000000000000,2,3883,2,8
13823,AW00024822,Paige Cook,50,above_50,New,3,144,65,196,3,196,3,0
6810,AW00017809,Josue Blanco,51,above_50,New,5,145,41,205,5,205,5,0
11554,AW00022553,Melinda Vazquez,84,above_50,New,3,145,16,49,3,49,3,0
15831,AW00026830,Levi Perez,53,above_50,New,3,146,184,554,3,554,3,0
16301,AW00027300,Robert Baker,66,above_50,New,2,149,3,7,2,7,2,0
10106,AW00021105,Cory Sara,51,above_50,New,3,147,844,422.3333333333333333,3,2534,3,6
16273,AW00027272,Elijah Chen,43,40_49,New,1,153,2049,2049,1,2049,1,0
11614,AW00022613,Dale Luo,50,above_50,New,3,151,394,1183,3,1183,3,0
3201,AW00014200,Colleen Goel,71,above_50,VIP,10,142,942,523.4444444444444444,10,9422,10,18
14327,AW00025326,Hunter Scott,49,40_49,New,3,145,26,79,3,79,3,0
17100,AW00028099,Jesse Turner,41,40_49,VIP,4,139,1505,182.4545454545454545,4,6021,4,33
13172,AW00024171,Jarrod Chandra,40,40_49,New,5,143,601,273.2727272727272727,5,3006,5,11
8051,AW00019050,Joel Chapman,60,above_50,New,2,142,28,57,2,57,2,0
838,AW00011837,Haley Alexander,49,40_49,VIP,5,150,1184,370.1875000000000000,5,5923,5,16
2133,AW00013132,Casey Vazquez,61,above_50,VIP,9,141,764,404.7647058823529412,9,6881,9,17
3219,AW00014218,Karl Kumar,40,40_49,VIP,9,144,628,471.0000000000000000,9,5652,9,12
15992,AW00026991,Rodney Ortega,42,40_49,New,2,145,632,1265,2,1265,2,0
3089,AW00014088,Alexandra Lopez,41,40_49,Regular,3,147,918,196.7857142857142857,3,2755,3,14
9787,AW00020786,Marcus Perez,47,40_49,New,2,142,7,15,2,15,2,0
3017,AW00014016,Mary Sandidge,69,above_50,New,5,143,24,121.0000000000000000,5,121,5,1
1246,AW00012245,Francisco Gonzalez,41,40_49,Regular,4,146,991,220.3888888888888889,4,3967,4,18
16320,AW00027319,Ian Bryant,49,40_49,New,3,139,591,1775,3,1775,3,0
16073,AW00027072,Alex Baker,48,40_49,New,2,147,15,31,2,31,2,0
16562,AW00027561,Kimberly Brooks,61,above_50,New,4,149,21,84,4,84,4,0
13414,AW00024413,Nathan Lewis,52,above_50,New,4,151,601,2407,4,2407,4,0
16134,AW00027133,Phillip Arun,67,above_50,New,2,143,388,777,2,777,2,0
9524,AW00020523,Emma Howard,71,above_50,New,2,140,7,15,2,15,2,0
4420,AW00015419,Carlos Baker,46,40_49,Regular,2,144,1551,238.6923076923076923,2,3103,2,13
12683,AW00023682,Natalie Harris,73,above_50,New,2,150,30,60,2,60,2,0
12146,AW00023145,Nichole Xie,41,40_49,New,2,145,287,575,2,575,2,0
2312,AW00013311,Isabella Reed,59,above_50,New,2,139,15,30,2,30,2,0
7457,AW00018456,Timothy Bailey,42,40_49,New,2,141,6,13,2,13,2,0
11672,AW00022671,Wyatt King,56,above_50,New,2,149,577,1155,2,1155,2,0
6376,AW00017375,Sheila Gill,72,above_50,New,2,139,23,6.5714285714285714,2,46,2,7
13594,AW00024593,Destiny Watson,45,40_49,New,1,139,5,5,1,5,1,0
13944,AW00024943,Darrell Chander,79,above_50,New,3,140,24,72,3,72,3,0
8539,AW00019538,Connor Hall,59,above_50,New,2,149,577,1155,2,1155,2,0
9155,AW00020154,Raul Luo,41,40_49,Regular,3,150,1384,259.5625000000000000,3,4153,3,16
18477,AW00029476,Elizabeth Bradley,60,above_50,New,1,169,3400,3400,1,3400,1,0
11533,AW00022532,Ryan Thomas,43,40_49,New,1,140,5,5,1,5,1,0
14163,AW00025162,Bryan Morris,49,40_49,New,1,147,2384,2384,1,2384,1,0
13100,AW00024099,Sarah Smith,54,above_50,New,3,142,187,563,3,563,3,0
3054,AW00014053,Tamara Huang,47,40_49,New,4,150,21,86,4,86,4,0
5423,AW00016422,Kurt Xu,45,40_49,Regular,3,145,1544,386.0833333333333333,3,4633,3,12
2358,AW00013357,Blake Gonzales,74,above_50,Regular,5,141,908,216.3809523809523810,5,4544,5,21
7167,AW00018166,Julian Wood,66,above_50,VIP,7,140,1028,553.8461538461538462,7,7200,7,13
6061,AW00017060,Gerald Sanz,52,above_50,New,4,143,31,62.0000000000000000,4,124,4,2
16501,AW00027500,Luis Hill,58,above_50,New,5,145,274,228.6666666666666667,5,1372,5,6
17170,AW00028169,Lucas Blue,53,above_50,New,1,168,3578,3578,1,3578,1,0
12610,AW00023609,Clarence Li,64,above_50,New,2,147,6,13,2,13,2,0
11046,AW00022045,Cameron Chen,46,40_49,New,4,148,140,562,4,562,4,0
4342,AW00015341,Lacey Deng,68,above_50,Regular,3,140,540,85.3684210526315789,3,1622,3,19
13592,AW00024591,Derek Pal,45,40_49,New,2,144,29,59,2,59,2,0
6823,AW00017822,Michelle Cooper,56,above_50,New,1,143,30,30,1,30,1,0
17260,AW00028259,Samuel Mitchell,51,above_50,VIP,6,140,1019,191.1875000000000000,6,6118,6,32
2577,AW00013576,Tamara Lal,64,above_50,VIP,7,146,1190,287.2413793103448276,7,8330,7,29
289,AW00011288,Cindy Sanchez,47,40_49,New,4,144,19,15.4000000000000000,4,77,4,5
4220,AW00015219,Clayton Chen,49,40_49,New,3,142,1466,439.9000000000000000,3,4399,3,10
1499,AW00012498,Eduardo Diaz,45,40_49,New,2,145,20,40,2,40,2,0
8429,AW00019428,Eric Turner,44,40_49,Regular,4,151,469,104.3333333333333333,4,1878,4,18
17278,AW00028277,Katrina Deng,85,above_50,New,1,139,5,5,1,5,1,0
11076,AW00022075,Pedro Patel,52,above_50,New,5,142,28,144,5,144,5,0
14637,AW00025636,Tommy Raji,48,40_49,New,2,140,587,1174,2,1174,2,0
4247,AW00015246,Kaitlyn Watson,43,40_49,New,1,146,22,22,1,22,1,0
16917,AW00027916,Aaron Carter,45,40_49,New,2,140,20,40,2,40,2,0
9926,AW00020925,Kristin Xu,40,40_49,New,2,143,34,68,2,68,2,0
276,AW00011275,Jenny Rai,86,above_50,VIP,4,151,1488,372.1875000000000000,4,5955,4,16
4401,AW00015400,Samuel Roberts,65,above_50,New,1,147,5,5,1,5,1,0
